poly_id,GID_2,NAME_1,NAME_2,EAD_nomang_usd,EAD_with_usd,EAD_avoided_usd,mangrove_ha,NPV_benefits_usd,NPV_cost_low,NPV_cost_mid,NPV_cost_high,BCR_low,BCR_mid,BCR_high,pop_exposed_nomang,ntl_exposed_nomang,pop_exposed_with,ntl_exposed_with,pop_avoided,ntl_avoided
716,PHL.37.26_1,Isabela,Roxas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,PHL.37.27_1,Isabela,San Agustin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,PHL.37.28_1,Isabela,San Guillermo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,PHL.37.29_1,Isabela,San Isidro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,PHL.37.30_1,Isabela,San Manuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,PHL.37.31_1,Isabela,San Mariano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,PHL.37.32_1,Isabela,San Mateo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,PHL.37.33_1,Isabela,San Pablo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,PHL.37.34_1,Isabela,Santa Maria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725,PHL.37.35_1,Isabela,Santiago City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,PHL.37.36_1,Isabela,Santo Tomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727,PHL.37.37_1,Isabela,Tumauini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,PHL.38.1_1,Kalinga,Balbalan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,PHL.38.2_1,Kalinga,Lubuagan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,PHL.38.3_1,Kalinga,Pasil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,PHL.38.4_1,Kalinga,Pinukpuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,PHL.38.5_1,Kalinga,Rizal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,PHL.38.6_1,Kalinga,Tabuk City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,PHL.38.7_1,Kalinga,Tanudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,PHL.38.8_1,Kalinga,Tinglayan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,PHL.39.1_1,La Union,Agoo,3253789.2260000003,3249433.1429999997,4356.083000000566,0,66963.67258654554,0,0,0,66963672586545.53,66963672586545.53,66963672586545.53,99.865997314453125,28.038415908813477,99.865997314453125,28.038415908813477,0,0
737,PHL.39.2_1,La Union,Aringay,69646.185125,69645.215734375,0.9693906250031432,0,14.901909908780157,0,0,0,14901909908.780155,14901909908.780155,14901909908.780155,11.142266273498535,1.0593464374542236,11.142266273498535,1.0593464374542236,0,0
738,PHL.39.3_1,La Union,Bacnotan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,PHL.39.4_1,La Union,Bagulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,PHL.39.5_1,La Union,Balaoan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,PHL.39.6_1,La Union,Bangar,913597.001,913597.001,0,0,0,0,0,0,0,0,0,23.512466430664062,9.263497352600098,23.512466430664062,9.263497352600098,0,0
742,PHL.39.7_1,La Union,Bauang,5576685.635,5378370.882,198314.75299999956,160.68466186523438,3048583.828400858,241026.99279785156,642738.6474609375,1606846.6186523438,12.648308776592895,4.743115791222335,1.8972463164889342,29.5968074798584,68.20061492919922,29.5968074798584,68.20061492919922,0,0
743,PHL.39.8_1,La Union,Burgos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,PHL.39.9_1,La Union,Caba,494969.4520625,494937.0866875,32.365374999993946,0,497.5351421541048,0,0,0,497535142154.10474,497535142154.10474,497535142154.10474,4.854737758636475,0.038057200610637665,4.854737758636475,0.038057200610637665,0,0
745,PHL.39.10_1,La Union,Luna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
746,PHL.39.11_1,La Union,Naguilian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,PHL.39.12_1,La Union,Pugo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,PHL.39.13_1,La Union,Rosario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749,PHL.39.14_1,La Union,San Fernando City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,PHL.39.15_1,La Union,San Gabriel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,PHL.39.16_1,La Union,San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,PHL.39.17_1,La Union,Santo Tomas,1142056.7455,1133764.805,8291.940500000026,73.51667022705078,127467.44925407672,110275.00534057617,294066.6809082031,735166.7022705078,1.155905174163474,0.43346444031130277,0.1733857761245211,29.93219757080078,11.572012901306152,29.93219757080078,11.572012901306152,0,0
753,PHL.39.18_1,La Union,Santol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,PHL.39.19_1,La Union,Sudipen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,PHL.39.20_1,La Union,Tubao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,PHL.40.1_1,Laguna,Alaminos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,PHL.40.2_1,Laguna,Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758,PHL.40.3_1,Laguna,Biñan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759,PHL.40.4_1,Laguna,Cabuyao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,PHL.40.5_1,Laguna,Calamba City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,PHL.40.6_1,Laguna,Calauan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,PHL.40.7_1,Laguna,Cavinti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,PHL.40.8_1,Laguna,Famy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,PHL.40.9_1,Laguna,Kalayaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,PHL.40.10_1,Laguna,Kalibato Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,PHL.40.11_1,Laguna,Laguna lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,PHL.40.12_1,Laguna,Liliw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,PHL.40.13_1,Laguna,Los Baños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,PHL.40.14_1,Laguna,Luisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,PHL.40.15_1,Laguna,Lumban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,PHL.40.16_1,Laguna,Mabitac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
