alpha,L,ead_nat_with,avoided_EAD_total_usd,avoided_EAD_total_musd
0.15,500,7128958395.423866,24807810.59534931,24.807810595349313
0.15,1000,7111421691.9772625,42344514.04195309,42.34451404195309
0.15,2000,7075367167.315282,78399038.70393372,78.39903870393371
0.25,500,7111866337.761417,41899868.257798195,41.8998682577982
0.25,1000,7082453697.498817,71312508.52039814,71.31250852039814
0.25,2000,7021829076.288177,131937129.73103905,131.93712973103905
0.4,500,7085358431.030114,68407774.98910141,68.40777498910141
0.4,1000,7037882973.438322,115883232.58089352,115.88323258089352
0.4,2000,6939659239.26969,214106966.74952602,214.10696674952604
