poly_id,GID_2,NAME_1,NAME_2,EAD_nomang_usd,EAD_with_usd,EAD_avoided_usd,mangrove_ha,benefit_per_ha_year,NPV_benefits_usd,NPV_cost_low,NPV_cost_mid,NPV_cost_high,BCR_low,BCR_mid,BCR_high,pop_exposed_nomang,ntl_exposed_nomang,pop_exposed_with,ntl_exposed_with,pop_avoided,ntl_avoided
1581,PHL.79.6_1,Zamboanga del Norte,Gutalac,0,0,0,41.964351654052734,0,0,62946.5274810791,167857.40661621094,419643.51654052734,0,0,0,0,0,0,0,0,0
1582,PHL.79.7_1,Zamboanga del Norte,Jose Dalman,0,0,0,52.59382629394531,0,0,78890.73944091797,210375.30517578125,525938.2629394531,0,0,0,0,0,0,0,0,0
1583,PHL.79.8_1,Zamboanga del Norte,Kalawit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1584,PHL.79.9_1,Zamboanga del Norte,Katipunan,2.5238302431106567,1.926815909385681,0.5970143337249758,0,597014333.7249758,9.177573607534272,0,0,0,9177573607.534271,9177573607.534271,9177573607.534271,1.7827394008636475,2.0001355733256787e-4,0,0,1.7827394008636475,2.0001355733256787e-4
1585,PHL.79.10_1,Zamboanga del Norte,La Libertad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1586,PHL.79.11_1,Zamboanga del Norte,Labason,49561.86953124999,45561.6659375,4000.2035937499895,63.48374557495117,63.01146155636338,61492.933842482416,95225.61836242676,253934.9822998047,634837.4557495117,0.6457604046050042,0.24216015172687655,0.09686406069075063,9.422149658203125,1.3968309164047241,9.422149658203125,1.3968309164047241,0,0
1587,PHL.79.12_1,Zamboanga del Norte,Liloy,0,0,0,172.50697326660156,0,0,258760.45989990234,690027.89306640625,1725069.7326660156,0,0,0,0,0,0,0,0,0
1588,PHL.79.13_1,Zamboanga del Norte,Manukan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1589,PHL.79.14_1,Zamboanga del Norte,Mutia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590,PHL.79.15_1,Zamboanga del Norte,Pinan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,PHL.79.16_1,Zamboanga del Norte,Polanco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1592,PHL.79.17_1,Zamboanga del Norte,Pres. Manuel A. Roxas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1593,PHL.79.18_1,Zamboanga del Norte,Rizal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,PHL.79.19_1,Zamboanga del Norte,Salug,0,0,0,0.22983688116073608,0,0,344.7553217411041,919.3475246429443,2298.368811607361,0,0,0,0,0,0,0,0,0
1595,PHL.79.20_1,Zamboanga del Norte,Sergio Osmena Sr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1596,PHL.79.21_1,Zamboanga del Norte,Siayan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1597,PHL.79.22_1,Zamboanga del Norte,Sibuco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1598,PHL.79.23_1,Zamboanga del Norte,Sibutad,0,0,0,77.717803955078125,0,0,116576.70593261719,310871.2158203125,777178.03955078125,0,0,0,0,0,0,0,0,0
1599,PHL.79.24_1,Zamboanga del Norte,Sindangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,PHL.79.25_1,Zamboanga del Norte,Siocon,14838.465234375,14838.465234375,0,0,0,0,0,0,0,0,0,0,3.977006435394287,1.459236979484558,3.977006435394287,1.459236979484558,0,0
1601,PHL.79.26_1,Zamboanga del Norte,Sirawai,0,0,0,0,0,0,0,0,0,0,0,0,3.385760545730591,0,3.385760545730591,0,0,0
