alpha,L,ead_nat_with,avoided_EAD_total_usd,avoided_EAD_total_musd
0.15,500,4946988858.812473,17107519.111317635,17.107519111317636
0.15,1000,4934810313.551975,29286064.37181568,29.28606437181568
0.15,2000,4909695776.315127,54400601.60866356,54.40060160866356
0.25,500,4935106128.932922,28990248.99086857,28.99024899086857
0.25,1000,4914664846.511989,49431531.41180229,49.43153141180229
0.25,2000,4872388549.377363,91707828.54642773,91.70782854642772
0.4,500,4916693440.132093,47402937.7916975,47.402937791697504
0.4,1000,4883675029.93756,80421347.98623085,80.42134798623086
0.4,2000,4815092213.124447,149004164.79934406,149.00416479934407
